prior,class
0.039861573094110134,A
0.02416759063266472,B
0.0634411853643786,C
0.02811544535161106,D
0.03106205691630548,E
0.0031582837751570744,F
0.015421832476564862,G
0.019601518664113162,H
0.0029936498336861203,I
0.023277223398178948,J
0.015179921378893256,K
0.031203171723280583,L
0.033454288882169135,M
0.05142626751335551,N
0.15590498269663677,O
0.05234351375869368,P
0.015942613311830126,Q
0.03147196183180459,R
0.130460639048483,S
0.06101199475859288,T
0.07812048516614589,U
0.0008668480999899203,V
0.029193965662063635,W
0.016863219433524847,X
0.02926116318919464,Y
0.01619460403857138,Z
